k,n,TimedTransfer,UntimedTransfer,TimedNoTransfer,UntimedNoTransfer
1,2,9 ,9 ,7 ,7
1,3,56 ,56 ,34 ,34
2,3,379 ,367 ,171 ,159
2,4,5336 ,5252 ,1707 ,1565
2,5,80150 ,80646 ,18832 ,17022
2,6,1258774 ,1296755 ,222418 ,197928
3,4,33923 ,31374 ,8176 ,7235
3,5,821804 ,777264 ,133154 ,115303
3,6,20658844 ,20093786 ,2303913 ,1948791
3,7,534131537 ,535414183 ,41659624 ,34379505
3,8,14122777093 ,14593028374 ,778914384 ,626684162
3,9,380363940557 ,404802685631 ,14950221889 ,11722058693
4,5,5124058 ,4504392 ,636512 ,541315
4,6,187576436 ,168972033 ,15020327 ,12426996
4,7,7035634670 ,6526812152 ,368807651 ,296546600
4,8,269102569132 ,257705262196 ,9337291675 ,7292489761
4,9,10461007028170 ,10350488238851 ,242235650611 ,183702242491
4,10,412286460558712 ,421431126754609 ,6410575243474 ,4719659859582
4,11,16442569583854550 ,17351556914610866 ,172475739458034 ,123261298705663
4,12,662567937179215488 ,721083059534161664 ,4705359899885876 ,3263950145153931
5,6,1163776169 ,972208492 ,72478073 ,59462571
5,7,59569956525 ,51054537273 ,2306782738 ,1835997489
5,8,3102540084011 ,2740131181498 ,75508402727 ,58278742279
5,9,163940382346490 ,149588351721140 ,2528185269920 ,1891787994878
5,10,8770090012364258 ,8278411610005330 ,86243595142890 ,62557336977750
5,11,474193327576473856 ,463280389872346752 ,2988435888614560 ,2101089191415004
5,12,25880381685481111552 ,26168430450843762688 ,104939740664503632 ,71509580897594448
5,13,1424249855057838735360 ,1489781055584311181312 ,3727343821894755328 ,2461672924215271424
5,14,78961846568532855226368 ,85385793838196079984640 ,133708501996691374080 ,85582516678667943936
5,15,4406967400009763691429888 ,4922354651151254566207488 ,4838065107061069316096 ,3001132225059008020480
6,7,369896378009 ,294572294672 ,11275719013 ,8956225053
6,8,25129145432710 ,20559970436697 ,461756474530 ,355474713611
6,9,1729583073730239 ,1459808133491462 ,19310930954349 ,14406067627611
6,10,120378670359723024 ,105089730552753488 ,821828647478329 ,594059414851990
6,11,8459954810489418752 ,7651465634137714688 ,35495821486843640 ,24860345232271320
6,12,599642782752206225408 ,562388204162324627456 ,1552641424892912128 ,1053576579506294272
6,13,42826483545976638275584 ,41668189119980798738432 ,68663055121835245568 ,45141103805476192256
6,14,3079543266986557314170880 ,3108505428176612299374592 ,3065682944823104372736 ,1952643599051621400576
6,15,222805813592273648225353728 ,233279702345736920873566208 ,138032200153059014213632 ,85176099794320871129088
6,16,16210152286924433171087884288 ,17597644249013980609386643456 ,6261235636765703463239680 ,3743134805937873085267968
6,17,1185374310706578072471706009600 ,1333568943761445112762945503232 ,285895821462147271202177024 ,165584198789830844493070336
6,18,87085606967284100593144028987392 ,101469512965170023636821522513920 ,13131592678531690763489640448 ,7368218613414211382591619072
7,8,156559323177543 ,119501742748159 ,2288875393444 ,1766270024167
7,9,13594129656325988 ,10681835386804880 ,116647155713950 ,87239203973345
7,10,1192479381653284864 ,968288755906576640 ,6042800139233948 ,4379803032658805
7,11,105537746999404380160 ,88793580329009692672 ,317435754828025728 ,222965350952717728
7,12,9413889472789854814208 ,8221673107337938731008 ,16876846514962327552 ,11487617401804552192
7,13,845600985006300578447360 ,767547280806103266361344 ,906712372745844424704 ,598081660613545951232
7,14,76434647855715663556378624 ,72162556017533543795130368 ,49162659635696483958784 ,31425028029753682034688
7,15,6948397054533295965080649728 ,6826119638361463500295897088 ,2687358085852849556684800 ,1664613669509204927315968
7,16,634931998843943242433115979776 ,649170648726186707462637223936 ,147961576836319825228726272 ,88814414164015172045242368
7,17,58294371661936631108502667919360 ,62028624979718795131422295195648 ,8199213095114520815776825344 ,4769278472243853122045214720
7,18,5375461444911611128610895104573440 ,5951743323932510279232783887892480 ,456992005392132384211658080256 ,257593437967555258898930728960
7,19,497676907191985790317320377632555008 ,573220040357601948010535081106997248 ,25604138101923542529300479606784 ,13985624978993360411943847854080
7,20,46247836004847626809953444528776019968 ,55393516092623171688101228604953722880 ,1441321393260379748844744090845184 ,762918245636862120174867542179840
7,21,4312520457145001167834087862228263895040 ,5369275031294136900900058000239661940736 ,81483849547839763730456367949938688 ,41795942976061022280999194482180096
8,9,85068587835386960 ,62672259749165056 ,586366975691096 ,440976444380641
8,10,9174944209578940416 ,6976292141120337920 ,36269804616818504 ,26447421661311540
8,11,997693200561899831296 ,785771126968413716480 ,2273191701731359744 ,1607169635750810624
8,12,109279363973947712339968 ,89386082887746487058432 ,144104430498443411456 ,98784579979123326976
8,13,12047343254743642728824832 ,10254269309537427304480768 ,9226764862912878084096 ,6132644010184880947200
8,14,1335911207215737537975812096 ,1184921505101966871155965952 ,595993116704371168509952 ,384084819441363592413184
8,15,148922993701178796525517537280 ,137787983713407175247005745152 ,38799376498404971922849792 ,24243744254503939762814976
8,16,16681783639469457041141073444864 ,16111334439600159021861047369728 ,2543532778849212548809490432 ,1541000791204915413606465536
8,17,1876919452128781656984761564921856 ,1893082445807803250387362296889344 ,167791002875521663769897861120 ,98565794464563604055356604416
8,18,212040639754056763879669183123816448 ,223403749468455122278776352926597120 ,11131427860211384491099350368256 ,6340182881593485314073152192512
8,19,24045229062041717837154342643221659648 ,26466453622044852843224717861161271296 ,742251528007634007261043054608384 ,409917544671980866714501637996544
8,20,2736252685305829604701456302261999239168 ,3146416500983419565791401886889220767744 ,49723954990399428360280085626880000 ,26626037060854094974925553377738752
8,21,312388331770261635706875099760861177184256 ,375237777393292680854410674572643249684480 ,3345148946213056206825421277535141888 ,1736811060242254789745246957908000768
8,22,35772509241652121514875578141735107141042176 ,44878794068983821454699557726028773388713984 ,225913531094263836755580993918394695680 ,113730312553718171903935601949638918144
8,23,4108033435107140483549791076250266208634404864 ,5381592382267065892440379542665034409730637824 ,15311073140663953111648290150357839904768 ,7473722524896098035506950495878030295040
8,24,473010195807998646664229071383661021732962041856 ,646874131738524256402748730306130523808530956288 ,1041071649312520674029233785143598056996864 ,492730738841081088057520407103046795919360
9,10,57691961027176349696 ,41348770974168375296 ,184815630205393792 ,135823112480185088
9,11,7557087372390223052800 ,5607060793984227999744 ,13606723205061275648 ,9702285121067202560
9,12,996599022401898032398336 ,768083744778391581097984 ,1012671916198085001216 ,700613581754727661568
9,13,132222553842386011819081728 ,106129223788117888870645760 ,76087334835672584290304 ,51075881162504344174592
9,14,17638188280631429662653808640 ,14773962590445262119173619712 ,5765160110770788438638592 ,3755026566400621598998528
9,15,2364557562711663440032065126400 ,2070021710259228409779881771008 ,440117662128361186500018176 ,278145964433526223840215040
9,16,318426073911112563319574278176768 ,291691632405390169799725384990720 ,33825746277747495676040708096 ,20742326728571554317859815424
9,17,43059638973699966311733732678041600 ,41310252605566823371046868815446016 ,2615517782930464340115057541120 ,1556242370724695798559730040832
9,18,5845148810485298248485707035097169920 ,5876737424862907582084716920280449024 ,203352291604035393246901095628800 ,117403492823337591486403548545024
9,19,796271510875503864897375614738414698496 ,839374733436951364161753736565613395968 ,15889236039447731294396547504013312 ,8901226310467817351102000000925696
9,20,108832351573051223375104666639406806859776 ,120321458555316245175747532835554720743424 ,1247175867326696211807439829780660224 ,677940382115694616492728634778320896
9,21,14920676972930224261775890736704274649055232 ,17304084966522486507682763930418319590424576 ,98300072540993523150858792855127719936 ,51848520294644642328040478227556204544
9,22,2051469510760571307155461854441287781688803328 ,2495993056509396378675553286261590455012556800 ,7777344310873866757267573778827916083200 ,3980466796543915130598435751861520695296
9,23,282818920681175082108622225530702222519605133312 ,361006307095081752471806251300218696748937248768 ,617485105593437018064363491145884377284608 ,306655294301272563682331193158262813884416
9,24,39088308608585565182654973273510813438652371173376 ,52343691627320461829111843693652363380694588588032 ,49183545296339282534867822780723535999401984 ,23700964512529033888219684293895372213846016
9,25,5415204711352683607336130997429648884377258758766592 ,7606857531528483486055231648306188529361627004272640 ,3929200514682115347604166789314205005459226624 ,1837271289970235443690219121785924805246058496
